Item No.,大?,小?,功能?,基本要求,?段目?,?估MD,Remark,TFS Item,PIC,Status,ETD,last ETD,Delay Reason,Is Solution Ready,Solution PIC,Solution ETD,Solution Last ETD,Required by,Source Doc,Source Doc Ref. No.
DMS-01-01,DMS,BDL,附件管理 - 基本功能,batch upload/ delete is allowed,2016年4月,,,,,Resolved,,,,Y,,,,TRD,TRD Todo-List-20150522.xlsx,
DMS-01-02-01,DMS,BDL,DMS preference setting - File type allowed ,,2016年11月,,,,Calvin Tam,Resolved,,,,Y,,,,FW,,
DMS-01-02-02,DMS,BDL,DMS preference setting - Limit of file size allowed,,2016年11月,,,,Calvin Tam,Resolved,,,,Y,,,,FW,,
DMS-01-02-03,DMS,BDL,DMS preference setting - Default file location ,"Setup attachment saving location in DMS using [DMS preference setting], user can change the setting in [user option]",2016年11月,,,,Calvin Tam,Resolved,2016-11-25,,,Y,,,,FW,,
DMS-01-03-01,DMS,BDL,Save Attachment - select folder,"When an attachment is saved, user can select the folder from DMS.
FW: should allow user to select specific folder to save the attachment, instead of always saving to default folder",2016年11月,,,,Calvin Tam,Resolved,2016-11-29,2016-11-25,2016/11/25 ???估有?，延??天,Y,,,,FW,,
DMS-01-03-02,DMS,BDL,Save Attachment - create sub-folder,"When an attachment is saved, a sub-folder = primary code will be created under the selected folder ( by default) ",2016年11月,,,,Calvin Tam,Resolved,,,,Y,,,,FW,,
DMS-01-03-03,DMS,BDL,Save Attachment - File name,File name of the file added to the selected folder = title of the attachment ,2016年11月,,,,Calvin Tam,Resolved,,,,Y,,,,FW,,
DMS-01-03-04,DMS,BDL,Save Attachment - Configurable Sub-folder name,Sub-folder name is configurable by end-user,2016年11月,,only a single-field-combo box is provided for end-user to configure,,Calvin Tam,Resolved,2016-11-29,2016-11-25,2016/11/25 ???估有?，延??天,Y,,,,FW,,
DMS-01-03-05,DMS,BDL,Save Attachment - Other Info,"When an attachment is saved, the followings can be edited
- Authors ( default = user name who upload the file)
- Title ( originally the field is named as <description>
- Tags
- Comment ( memo field)  ",2016年11月,,,,Calvin Tam,Resolved,2016-11-25,,,Y,,,,FW,,
DMS-01-03-06,DMS,BDL,Save Attachment - Configurable Tags,User can add 'tags' to an attachment from header fields of source transaction,2016年11月,,,,Calvin Tam,Resolved,2016-11-25,,,Y,,,,FW,,
